Int_optimized,Int_unoptimized,two_theta_optimized,two_theta_unoptimized
2,1,42.98,42.98
0,2,42.982,42.982
2,3,42.984,42.984
0,0,42.986,42.986
1,2,42.988,42.988
2,0,42.99,42.99
0,1,42.992,42.992
3,1,42.994,42.994
2,0,42.996,42.996
1,2,42.998,42.998
1,3,43,43
1,1,43.002,43.002
3,0,43.004,43.004
2,4,43.006,43.006
1,1,43.008,43.008
1,2,43.01,43.01
0,2,43.012,43.012
2,1,43.014,43.014
3,1,43.016,43.016
0,0,43.018,43.018
0,0,43.02,43.02
1,2,43.022,43.022
3,4,43.024,43.024
1,0,43.026,43.026
2,1,43.028,43.028
0,2,43.03,43.03
1,1,43.032,43.032
1,1,43.034,43.034
1,0,43.036,43.036
2,2,43.038,43.038
2,1,43.04,43.04
3,0,43.042,43.042
2,0,43.044,43.044
1,0,43.046,43.046
1,2,43.048,43.048
1,0,43.05,43.05
1,0,43.052,43.052
0,0,43.054,43.054
2,0,43.056,43.056
2,0,43.058,43.058
1,0,43.06,43.06
0,0,43.062,43.062
1,2,43.064,43.064
0,1,43.066,43.066
0,0,43.068,43.068
0,1,43.07,43.07
2,0,43.072,43.072
2,0,43.074,43.074
0,1,43.076,43.076
1,0,43.078,43.078
2,1,43.08,43.08
0,0,43.082,43.082
3,1,43.084,43.084
2,0,43.086,43.086
0,1,43.088,43.088
1,0,43.09,43.09
0,0,43.092,43.092
2,0,43.094,43.094
0,1,43.096,43.096
1,1,43.098,43.098
0,0,43.1,43.1
2,1,43.102,43.102
0,1,43.104,43.104
1,1,43.106,43.106
1,0,43.108,43.108
1,1,43.11,43.11
2,2,43.112,43.112
0,0,43.114,43.114
2,3,43.116,43.116
0,1,43.118,43.118
2,1,43.12,43.12
3,0,43.122,43.122
1,0,43.124,43.124
1,1,43.126,43.126
1,2,43.128,43.128
0,1,43.13,43.13
0,0,43.132,43.132
2,2,43.134,43.134
1,0,43.136,43.136
3,1,43.138,43.138
2,0,43.14,43.14
1,0,43.142,43.142
1,0,43.144,43.144
0,3,43.146,43.146
0,1,43.148,43.148
3,2,43.15,43.15
2,4,43.152,43.152
1,2,43.154,43.154
0,1,43.156,43.156
0,0,43.158,43.158
1,0,43.16,43.16
1,1,43.162,43.162
0,3,43.164,43.164
4,2,43.166,43.166
3,0,43.168,43.168
2,0,43.17,43.17
3,2,43.172,43.172
3,0,43.174,43.174
4,0,43.176,43.176
2,0,43.178,43.178
3,0,43.18,43.18
2,2,43.182,43.182
0,1,43.184,43.184
0,2,43.186,43.186
0,0,43.188,43.188
0,3,43.19,43.19
0,2,43.192,43.192
1,2,43.194,43.194
0,1,43.196,43.196
0,0,43.198,43.198
0,0,43.2,43.2
0,4,43.202,43.202
0,1,43.204,43.204
2,1,43.206,43.206
4,0,43.208,43.208
3,1,43.21,43.21
0,3,43.212,43.212
1,2,43.214,43.214
2,1,43.216,43.216
0,1,43.218,43.218
0,0,43.22,43.22
4,1,43.222,43.222
0,1,43.224,43.224
0,1,43.226,43.226
0,0,43.228,43.228
2,2,43.23,43.23
3,1,43.232,43.232
0,0,43.234,43.234
1,0,43.236,43.236
2,1,43.238,43.238
0,3,43.24,43.24
2,2,43.242,43.242
0,2,43.244,43.244
2,1,43.246,43.246
4,1,43.248,43.248
1,0,43.25,43.25
0,1,43.252,43.252
1,3,43.254,43.254
2,1,43.256,43.256
0,2,43.258,43.258
0,0,43.26,43.26
1,0,43.262,43.262
2,0,43.264,43.264
2,0,43.266,43.266
1,1,43.268,43.268
0,0,43.27,43.27
1,1,43.272,43.272
0,0,43.274,43.274
1,1,43.276,43.276
1,2,43.278,43.278
0,1,43.28,43.28
2,1,43.282,43.282
1,1,43.284,43.284
1,2,43.286,43.286
2,2,43.288,43.288
1,1,43.29,43.29
0,1,43.292,43.292
0,2,43.294,43.294
0,0,43.296,43.296
0,0,43.298,43.298
2,1,43.3,43.3
2,3,43.302,43.302
2,0,43.304,43.304
0,0,43.306,43.306
1,1,43.308,43.308
2,1,43.31,43.31
2,4,43.312,43.312
0,0,43.314,43.314
2,1,43.316,43.316
1,0,43.318,43.318
3,0,43.32,43.32
0,2,43.322,43.322
1,3,43.324,43.324
3,1,43.326,43.326
1,0,43.328,43.328
1,2,43.33,43.33
2,1,43.332,43.332
2,2,43.334,43.334
1,1,43.336,43.336
0,0,43.338,43.338
0,1,43.34,43.34
0,1,43.342,43.342
0,1,43.344,43.344
2,1,43.346,43.346
1,3,43.348,43.348
1,3,43.35,43.35
2,3,43.352,43.352
0,1,43.354,43.354
0,0,43.356,43.356
1,1,43.358,43.358
1,3,43.36,43.36
1,3,43.362,43.362
1,0,43.364,43.364
3,4,43.366,43.366
0,2,43.368,43.368
0,3,43.37,43.37
0,1,43.372,43.372
1,1,43.374,43.374
1,4,43.376,43.376
1,3,43.378,43.378
1,3,43.38,43.38
1,2,43.382,43.382
1,1,43.384,43.384
1,2,43.386,43.386
0,1,43.388,43.388
1,0,43.39,43.39
0,0,43.392,43.392
1,0,43.394,43.394
2,0,43.396,43.396
0,0,43.398,43.398
3,1,43.4,43.4
1,3,43.402,43.402
1,3,43.404,43.404
3,3,43.406,43.406
3,1,43.408,43.408
0,1,43.41,43.41
2,0,43.412,43.412
1,0,43.414,43.414
2,2,43.416,43.416
3,0,43.418,43.418
2,1,43.42,43.42
0,1,43.422,43.422
1,1,43.424,43.424
2,0,43.426,43.426
2,0,43.428,43.428
0,2,43.43,43.43
2,4,43.432,43.432
2,0,43.434,43.434
3,1,43.436,43.436
3,3,43.438,43.438
2,0,43.44,43.44
0,1,43.442,43.442
1,1,43.444,43.444
0,4,43.446,43.446
3,0,43.448,43.448
1,0,43.45,43.45
0,0,43.452,43.452
1,0,43.454,43.454
0,2,43.456,43.456
1,1,43.458,43.458
0,2,43.46,43.46
2,0,43.462,43.462
1,2,43.464,43.464
2,0,43.466,43.466
2,0,43.468,43.468
1,1,43.47,43.47
0,1,43.472,43.472
0,0,43.474,43.474
2,1,43.476,43.476
0,1,43.478,43.478
1,1,43.48,43.48
0,1,43.482,43.482
3,3,43.484,43.484
1,1,43.486,43.486
1,0,43.488,43.488
1,0,43.49,43.49
0,1,43.492,43.492
1,0,43.494,43.494
1,0,43.496,43.496
3,2,43.498,43.498
3,1,43.5,43.5
0,3,43.502,43.502
1,0,43.504,43.504
2,1,43.506,43.506
0,2,43.508,43.508
1,1,43.51,43.51
1,3,43.512,43.512
1,0,43.514,43.514
1,1,43.516,43.516
1,0,43.518,43.518
0,0,43.52,43.52
0,4,43.522,43.522
0,1,43.524,43.524
2,2,43.526,43.526
2,1,43.528,43.528
0,2,43.53,43.53
1,0,43.532,43.532
0,3,43.534,43.534
4,3,43.536,43.536
0,1,43.538,43.538
0,3,43.54,43.54
3,1,43.542,43.542
1,1,43.544,43.544
0,2,43.546,43.546
1,2,43.548,43.548
2,2,43.55,43.55
1,3,43.552,43.552
0,0,43.554,43.554
1,1,43.556,43.556
0,0,43.558,43.558
0,0,43.56,43.56
1,1,43.562,43.562
2,1,43.564,43.564
0,0,43.566,43.566
3,1,43.568,43.568
2,3,43.57,43.57
0,1,43.572,43.572
2,1,43.574,43.574
2,2,43.576,43.576
0,0,43.578,43.578
2,1,43.58,43.58
0,3,43.582,43.582
2,4,43.584,43.584
0,1,43.586,43.586
1,2,43.588,43.588
0,0,43.59,43.59
2,1,43.592,43.592
0,1,43.594,43.594
2,0,43.596,43.596
1,1,43.598,43.598
1,0,43.6,43.6
1,3,43.602,43.602
0,3,43.604,43.604
2,3,43.606,43.606
1,1,43.608,43.608
2,0,43.61,43.61
2,2,43.612,43.612
2,1,43.614,43.614
0,0,43.616,43.616
2,1,43.618,43.618
0,1,43.62,43.62
1,1,43.622,43.622
2,2,43.624,43.624
1,0,43.626,43.626
1,1,43.628,43.628
0,0,43.63,43.63
1,2,43.632,43.632
0,3,43.634,43.634
3,0,43.636,43.636
1,0,43.638,43.638
1,0,43.64,43.64
2,2,43.642,43.642
1,2,43.644,43.644
0,3,43.646,43.646
0,0,43.648,43.648
3,2,43.65,43.65
1,4,43.652,43.652
0,0,43.654,43.654
2,1,43.656,43.656
4,0,43.658,43.658
1,0,43.66,43.66
0,0,43.662,43.662
2,1,43.664,43.664
1,1,43.666,43.666
2,0,43.668,43.668
1,0,43.67,43.67
1,3,43.672,43.672
3,2,43.674,43.674
1,0,43.676,43.676
1,2,43.678,43.678
1,1,43.68,43.68
2,0,43.682,43.682
2,0,43.684,43.684
1,2,43.686,43.686
1,0,43.688,43.688
1,1,43.69,43.69
1,0,43.692,43.692
1,0,43.694,43.694
3,1,43.696,43.696
2,0,43.698,43.698
0,0,43.7,43.7
0,1,43.702,43.702
0,0,43.704,43.704
1,1,43.706,43.706
1,1,43.708,43.708
1,1,43.71,43.71
1,1,43.712,43.712
1,0,43.714,43.714
1,1,43.716,43.716
0,1,43.718,43.718
3,1,43.72,43.72
1,2,43.722,43.722
5,0,43.724,43.724
0,2,43.726,43.726
0,5,43.728,43.728
0,2,43.73,43.73
2,1,43.732,43.732
2,0,43.734,43.734
0,2,43.736,43.736
1,1,43.738,43.738
1,1,43.74,43.74
0,4,43.742,43.742
1,2,43.744,43.744
1,1,43.746,43.746
2,1,43.748,43.748
1,1,43.75,43.75
1,1,43.752,43.752
2,0,43.754,43.754
0,2,43.756,43.756
1,1,43.758,43.758
2,1,43.76,43.76
1,1,43.762,43.762
1,1,43.764,43.764
0,1,43.766,43.766
2,0,43.768,43.768
0,3,43.77,43.77
0,3,43.772,43.772
0,0,43.774,43.774
1,0,43.776,43.776
2,1,43.778,43.778
0,1,43.78,43.78
1,2,43.782,43.782
3,0,43.784,43.784
1,3,43.786,43.786
1,1,43.788,43.788
2,1,43.79,43.79
1,2,43.792,43.792
2,0,43.794,43.794
0,2,43.796,43.796
0,0,43.798,43.798
1,1,43.8,43.8
1,2,43.802,43.802
1,0,43.804,43.804
2,1,43.806,43.806
2,2,43.808,43.808
2,1,43.81,43.81
1,1,43.812,43.812
0,4,43.814,43.814
2,0,43.816,43.816
1,1,43.818,43.818
1,3,43.82,43.82
0,3,43.822,43.822
1,1,43.824,43.824
2,0,43.826,43.826
3,0,43.828,43.828
1,1,43.83,43.83
0,1,43.832,43.832
3,2,43.834,43.834
1,3,43.836,43.836
2,1,43.838,43.838
1,1,43.84,43.84
0,0,43.842,43.842
1,3,43.844,43.844
0,0,43.846,43.846
2,1,43.848,43.848
2,2,43.85,43.85
2,3,43.852,43.852
1,0,43.854,43.854
3,1,43.856,43.856
2,1,43.858,43.858
2,0,43.86,43.86
3,0,43.862,43.862
0,1,43.864,43.864
2,0,43.866,43.866
1,2,43.868,43.868
0,2,43.87,43.87
1,0,43.872,43.872
0,0,43.874,43.874
1,1,43.876,43.876
0,4,43.878,43.878
1,1,43.88,43.88
0,1,43.882,43.882
1,2,43.884,43.884
0,0,43.886,43.886
1,0,43.888,43.888
2,2,43.89,43.89
2,0,43.892,43.892
0,1,43.894,43.894
1,1,43.896,43.896
0,0,43.898,43.898
1,2,43.9,43.9
2,0,43.902,43.902
2,2,43.904,43.904
1,1,43.906,43.906
1,2,43.908,43.908
1,2,43.91,43.91
3,0,43.912,43.912
2,1,43.914,43.914
0,0,43.916,43.916
3,2,43.918,43.918
0,0,43.92,43.92
1,4,43.922,43.922
3,0,43.924,43.924
0,2,43.926,43.926
2,2,43.928,43.928
1,3,43.93,43.93
3,1,43.932,43.932
2,2,43.934,43.934
2,4,43.936,43.936
3,2,43.938,43.938
1,1,43.94,43.94
2,1,43.942,43.942
2,2,43.944,43.944
1,3,43.946,43.946
1,0,43.948,43.948
3,0,43.95,43.95
1,2,43.952,43.952
3,0,43.954,43.954
1,1,43.956,43.956
0,1,43.958,43.958
2,1,43.96,43.96
4,6,43.962,43.962
3,0,43.964,43.964
2,3,43.966,43.966
0,0,43.968,43.968
2,1,43.97,43.97
0,4,43.972,43.972
3,1,43.974,43.974
3,1,43.976,43.976
3,3,43.978,43.978
2,1,43.98,43.98
2,2,43.982,43.982
6,1,43.984,43.984
3,3,43.986,43.986
5,2,43.988,43.988
2,3,43.99,43.99
2,2,43.992,43.992
0,0,43.994,43.994
0,3,43.996,43.996
3,4,43.998,43.998
0,3,44,44
2,3,44.002,44.002
5,2,44.004,44.004
2,0,44.006,44.006
6,1,44.008,44.008
5,3,44.01,44.01
2,4,44.012,44.012
2,2,44.014,44.014
3,3,44.016,44.016
2,3,44.018,44.018
1,5,44.02,44.02
1,2,44.022,44.022
3,3,44.024,44.024
2,6,44.026,44.026
1,2,44.028,44.028
2,6,44.03,44.03
4,5,44.032,44.032
0,2,44.034,44.034
3,3,44.036,44.036
3,3,44.038,44.038
1,1,44.04,44.04
2,2,44.042,44.042
3,1,44.044,44.044
2,3,44.046,44.046
4,2,44.048,44.048
3,2,44.05,44.05
6,4,44.052,44.052
8,2,44.054,44.054
2,4,44.056,44.056
2,3,44.058,44.058
2,2,44.06,44.06
9,4,44.062,44.062
4,1,44.064,44.064
1,3,44.066,44.066
2,6,44.068,44.068
2,1,44.07,44.07
2,2,44.072,44.072
1,3,44.074,44.074
5,1,44.076,44.076
4,4,44.078,44.078
0,2,44.08,44.08
1,3,44.082,44.082
0,3,44.084,44.084
7,4,44.086,44.086
2,2,44.088,44.088
4,0,44.09,44.09
1,1,44.092,44.092
2,4,44.094,44.094
4,2,44.096,44.096
3,2,44.098,44.098
0,2,44.1,44.1
2,4,44.102,44.102
3,2,44.104,44.104
4,3,44.106,44.106
0,3,44.108,44.108
0,2,44.11,44.11
6,3,44.112,44.112
1,1,44.114,44.114
0,1,44.116,44.116
3,1,44.118,44.118
2,3,44.12,44.12
6,4,44.122,44.122
3,8,44.124,44.124
3,1,44.126,44.126
0,3,44.128,44.128
4,3,44.13,44.13
1,3,44.132,44.132
2,4,44.134,44.134
2,3,44.136,44.136
2,4,44.138,44.138
1,5,44.14,44.14
2,0,44.142,44.142
2,1,44.144,44.144
2,4,44.146,44.146
1,3,44.148,44.148
3,2,44.15,44.15
4,4,44.152,44.152
2,5,44.154,44.154
2,8,44.156,44.156
3,3,44.158,44.158
3,4,44.16,44.16
2,8,44.162,44.162
0,3,44.164,44.164
2,5,44.166,44.166
2,6,44.168,44.168
6,4,44.17,44.17
1,3,44.172,44.172
4,2,44.174,44.174
1,0,44.176,44.176
4,3,44.178,44.178
7,3,44.18,44.18
3,4,44.182,44.182
4,3,44.184,44.184
3,3,44.186,44.186
1,2,44.188,44.188
3,4,44.19,44.19
2,4,44.192,44.192
3,1,44.194,44.194
5,3,44.196,44.196
1,2,44.198,44.198
1,5,44.2,44.2
0,3,44.202,44.202
4,5,44.204,44.204
1,3,44.206,44.206
2,4,44.208,44.208
4,2,44.21,44.21
1,8,44.212,44.212
4,4,44.214,44.214
1,1,44.216,44.216
2,4,44.218,44.218
7,5,44.22,44.22
2,3,44.222,44.222
1,1,44.224,44.224
3,5,44.226,44.226
0,4,44.228,44.228
1,3,44.23,44.23
5,5,44.232,44.232
2,0,44.234,44.234
1,2,44.236,44.236
1,5,44.238,44.238
2,6,44.24,44.24
3,2,44.242,44.242
4,2,44.244,44.244
2,1,44.246,44.246
0,3,44.248,44.248
5,0,44.25,44.25
3,2,44.252,44.252
2,1,44.254,44.254
3,3,44.256,44.256
2,4,44.258,44.258
4,2,44.26,44.26
4,4,44.262,44.262
3,3,44.264,44.264
3,2,44.266,44.266
0,3,44.268,44.268
5,3,44.27,44.27
2,4,44.272,44.272
2,3,44.274,44.274
4,3,44.276,44.276
2,4,44.278,44.278
1,3,44.28,44.28
3,1,44.282,44.282
2,2,44.284,44.284
2,4,44.286,44.286
1,1,44.288,44.288
3,1,44.29,44.29
1,3,44.292,44.292
2,2,44.294,44.294
1,2,44.296,44.296
4,4,44.298,44.298
4,4,44.3,44.3
3,1,44.302,44.302
3,2,44.304,44.304
1,2,44.306,44.306
0,0,44.308,44.308
